,_id,RECORD_IDENTIFIER,CHANGE_TYPE,PRO_ORDER,UPRN,XREF_KEY,CROSS_REFERENCE,VERSION,SOURCE,START_DATE,END_DATE,LAST_UPDATE_DATE,ENTRY_DATE
14,60003f5921afba1f5264e361,23,I,263478,184047,0116X044691693,12869046000,,7666VN,2020-08-24,,2020-08-24,2020-08-24
16,6000390421afba1f52c20aa1,23,I,686799,201498,0116X042706174,10167036000,,7666VN,2016-02-11,,2016-03-20,2016-02-03
22,60003f8921afba1f528febde,23,I,827699,227709,0116X010681416,321712212,,7666VN,2012-06-12,,2016-02-10,2012-12-13
27,60003d5921afba1f52ec743d,23,I,324992,240378,0116X010679031,5038691000,,7666VN,2012-02-21,,2016-02-10,2012-12-13
32,60003bbf21afba1f52bef783,23,I,364227,245699,0116X041423872,8802820000,,7666VN,2013-08-27,,2016-02-10,2013-08-08
37,60003bbf21afba1f52bef788,23,I,364232,245699,0116X010732464,793473000,,7666VN,2012-06-12,,2016-02-10,2012-12-13
50,6000391921afba1f52d45fd0,23,I,932754,257836,0116X044658609,12718371000,,7666VN,2020-07-30,,2020-07-30,2020-06-10
56,60003e0d21afba1f526e02bc,23,I,6614,259107,0116X010693969,5079782000,,7666VN,2012-02-21,,2016-02-10,2012-12-13
62,60003c2721afba1f520ae525,23,I,358260,260229,0116X043868688,11621565000,,7666VN,2018-11-05,,2018-11-05,2018-11-05
69,60003a8821afba1f52db17b1,23,I,371758,261260,0116X043572582,11214732000,,7666VN,2018-01-31,,2018-02-24,2017-12-04
82,60003d4721afba1f52dc7dbd,23,I,99348,297888,0116X010679140,248915212,,7666VN,2012-06-12,,2016-02-10,2012-12-13
87,600036a521afba1f5205c082,23,I,863341,298604,0116X042917664,10510757000,,7666VN,2016-09-15,,2016-10-16,2016-09-12
95,600037b921afba1f52cb397b,23,I,454902,298961,0116X000137712,5709775000,,7666VN,2013-04-29,,2016-02-10,2012-12-13
101,6000381b21afba1f5212fc9a,23,I,405408,299367,0116X044298402,12032600000,,7666VN,2019-09-17,,2019-09-20,2019-09-17
106,6000428e21afba1f52c25039,23,I,183620,299804,0116X042944911,10514488000,,7666VN,2016-09-15,,2016-10-16,2016-09-12
113,6000402f21afba1f52042879,23,I,330889,300067,0116X010699068,6031527000,,7666VN,2012-02-21,,2016-02-10,2012-12-13
116,60003a7a21afba1f52cec010,23,I,209393,300526,0116X036690026,248913212,,7666VN,2012-06-12,,2016-02-10,2012-12-13
144,60003fc221afba1f52b32a47,23,I,282436,339523,0116X042399596,9306442000,,7666VN,2015-06-30,,2016-02-10,2014-07-14
145,60003f5921afba1f5264df6c,23,I,244465,340583,0116X042634584,8996797000,,7666VN,2016-01-04,,2016-02-07,2014-09-15
179,60003f6021afba1f526b75d3,23,I,332684,358189,0116X042168074,8079884000,,7666VN,2014-11-03,,2016-02-10,2014-01-30
190,60003d6021afba1f52f28443,23,I,386310,36049,0116X042279377,9612491000,,7666VN,2015-02-02,,2016-02-10,2015-01-26
197,60003a4e21afba1f52b77c6e,23,I,905251,36430,0116X010681604,249397212,,7666VN,2012-06-12,,2016-02-10,2012-12-13
211,6000395721afba1f52fbb0e4,23,I,442914,36643,0116X010681563,248946212,,7666VN,2012-06-12,,2016-02-10,2012-12-13
218,6000368d21afba1f52f058d8,23,I,581048,36812,0116X042280821,9611769000,,7666VN,2015-02-02,,2016-02-10,2015-01-26
